FyEnd,Symbol,Revenue,Cogs,Research,Advertising,OperatingIncomeLoss,IncomeTaxExpenseBenefit,NetIncomeLoss,EpsDiluted
12/31/07,MMM,24462000000,12735000000,NA,NA,6193000000,1964000000,4096000000,5.6
12/31/08,MMM,25269000000,13379000000,851000000,468000000,5218000000,1588000000,3460000000,4.89
12/31/09,MMM,23123000000,12109000000,838000000,414000000,4814000000,1388000000,3193000000,4.52
12/31/10,MMM,26662000000,13831000000,919000000,512000000,5918000000,1592000000,4085000000,5.63
12/31/11,MMM,29611000000,15693000000,1036000000,518000000,6178000000,1674000000,4283000000,5.96
12/31/12,MMM,29904000000,15685000000,1079000000,482000000,6483000000,1840000000,4444000000,6.32
12/31/13,MMM,30871000000,16106000000,1150000000,423000000,6666000000,1841000000,4659000000,6.72
12/31/14,MMM,31821000000,16447000000,1193000000,407000000,7135000000,2028000000,4956000000,7.49
12/31/15,MMM,30274000000,15383000000,1223000000,368000000,6946000000,1982000000,4833000000,7.58
12/31/16,MMM,30109000000,15040000000,1225000000,385000000,7223000000,1995000000,5050000000,8.16
12/31/17,MMM,31657000000,16001000000,1335000000,411000000,7820000000,2679000000,4858000000,7.93
12/31/18,MMM,32765000000,16682000000,1253000000,396000000,7207000000,1637000000,5349000000,8.89
12/31/19,MMM,32136000000,17136000000,1253000000,348000000,6174000000,1114000000,4517000000,7.72
12/31/20,MMM,32184000000,16605000000,1100000000,278000000,7161000000,1337000000,5449000000,9.36
12/31/21,MMM,35355000000,18795000000,1243000000,327000000,7369000000,1285000000,5921000000,10.12
12/31/22,MMM,34229000000,19232000000,1100000000,323000000,6539000000,612000000,5777000000,10.18
12/31/07,BA,66387000000,53402000000,3850000000,NA,5830000000,2060000000,4074000000,5.28
12/31/08,BA,60909000000,50352000000,3768000000,NA,3950000000,1341000000,2672000000,3.67
12/31/09,BA,68281000000,56540000000,6506000000,NA,2096000000,396000000,1312000000,1.84
12/31/10,BA,64306000000,51843000000,4121000000,NA,4971000000,1196000000,3307000000,4.45
12/31/11,BA,68735000000,55888000000,3918000000,NA,5823000000,1382000000,4018000000,5.34
12/31/12,BA,81698000000,68644000000,3298000000,NA,6311000000,2007000000,3900000000,5.11
12/31/13,BA,86623000000,73268000000,3071000000,NA,6562000000,1646000000,4585000000,5.96
12/31/14,BA,90762000000,76752000000,3047000000,NA,7473000000,1691000000,5446000000,7.38
12/31/15,BA,96114000000,82088000000,3331000000,NA,7443000000,1979000000,5176000000,7.44
12/31/16,BA,94571000000,80790000000,4627000000,NA,5834000000,673000000,4895000000,7.61
12/31/17,BA,93392000000,76066000000,3179000000,NA,10278000000,1850000000,8197000000,13.43
12/31/18,BA,1.01127E+11,81490000000,3269000000,NA,11987000000,1144000000,10460000000,17.85
12/31/19,BA,76559000000,72093000000,3219000000,NA,-1975000000,-1623000000,-636000000,-1.12
12/31/20,BA,58158000000,63843000000,2476000000,NA,-12767000000,-2535000000,-11873000000,-20.88
12/31/21,BA,62286000000,59269000000,2249000000,NA,-2902000000,-743000000,-4202000000,-7.15
12/31/22,BA,66608000000,63106000000,2852000000,NA,-3547000000,31000000,-4935000000,-8.3
12/31/07,CAT,44958000000,32626000000,1404000000,NA,4921000000,1485000000,3541000000,5.37
12/31/08,CAT,51324000000,38415000000,1728000000,NA,4448000000,953000000,3557000000,5.66
12/31/09,CAT,32396000000,23886000000,1421000000,NA,577000000,-270000000,895000000,1.43
12/31/10,CAT,42588000000,30367000000,1905000000,NA,3963000000,968000000,2700000000,4.15
12/31/11,CAT,60138000000,43578000000,2297000000,NA,7153000000,1720000000,4928000000,7.4
12/31/12,CAT,65875000000,47055000000,2466000000,NA,8573000000,2528000000,5681000000,8.48
12/31/13,CAT,55656000000,40727000000,2046000000,NA,5628000000,1319000000,3789000000,5.75
12/31/14,CAT,55184000000,39767000000,2135000000,NA,5328000000,1380000000,3695000000,5.88
12/31/15,CAT,47011000000,33742000000,2165000000,NA,3256000000,742000000,2102000000,3.5
12/31/16,CAT,38537000000,28309000000,1951000000,NA,498000000,192000000,-67000000,-0.11
12/31/17,CAT,45462000000,31049000000,1905000000,NA,4406000000,3339000000,754000000,1.26
12/31/18,CAT,54722000000,36997000000,1850000000,NA,8293000000,1698000000,6147000000,10.26
12/31/19,CAT,53800000000,36630000000,1693000000,NA,8290000000,1746000000,6093000000,10.74
12/31/20,CAT,41748000000,29082000000,1415000000,NA,4553000000,1006000000,2998000000,5.46
12/31/21,CAT,50971000000,35513000000,1686000000,NA,6878000000,1742000000,6489000000,11.83
12/31/22,CAT,59427000000,41350000000,1814000000,NA,7904000000,2067000000,6705000000,12.64
12/31/07,CVX,2.20904E+11,1.33309E+11,NA,NA,NA,13479000000,18688000000,8.77
12/31/08,CVX,2.73005E+11,1.71397E+11,702000000,NA,NA,19026000000,23931000000,11.67
12/31/09,CVX,1.71636E+11,99653000000,603000000,NA,NA,7965000000,10483000000,5.24
12/31/10,CVX,2.04928E+11,1.16467E+11,526000000,NA,NA,12919000000,19024000000,9.48
12/31/11,CVX,2.53706E+11,1.49923E+11,627000000,NA,NA,20626000000,26895000000,13.44
12/31/12,CVX,2.41909E+11,1.40766E+11,648000000,NA,NA,19996000000,26179000000,13.32
12/31/13,CVX,2.28848E+11,1.34696E+11,750000000,NA,NA,14308000000,21423000000,11.09
12/31/14,CVX,2.1197E+11,1.19671E+11,707000000,NA,NA,11892000000,19241000000,10.14
12/31/15,CVX,1.38477E+11,69751000000,601000000,NA,NA,132000000,4587000000,2.45
12/31/16,CVX,1.14472E+11,59321000000,476000000,NA,NA,-1729000000,-497000000,-0.27
12/31/17,CVX,1.41722E+11,75765000000,433000000,NA,NA,-48000000,9195000000,4.85
12/31/18,CVX,1.66339E+11,94578000000,453000000,NA,NA,5715000000,14824000000,7.74
12/31/19,CVX,1.46516E+11,80113000000,500000000,NA,NA,2691000000,2924000000,1.54
12/31/20,CVX,94692000000,50488000000,435000000,NA,NA,-1892000000,-5543000000,-2.96
12/31/21,CVX,1.62465E+11,89372000000,268000000,NA,NA,5950000000,15625000000,8.14
12/31/22,CVX,2.46252E+11,1.45416E+11,268000000,NA,NA,14066000000,35465000000,18.28
10/31/07,DE,24082200000,16252800000,816800000,NA,NA,883000000,NA,4
10/31/08,DE,28437600000,19574800000,943100000,188000000,3420000000,1111200000,2052800000,4.7
10/31/09,DE,23112400000,16255200000,977000000,175000000,1607000000,460000000,873500000,2.06
10/31/10,DE,26004600000,17398800000,1052400000,154000000,3408000000,1161600000,1865000000,4.35
10/31/11,DE,32012500000,21919400000,1226200000,163000000,4564000000,1423600000,2799900000,6.63
10/31/12,DE,36157100000,25007800000,1433600000,177000000,5109000000,1659400000,3064700000,7.63
10/31/13,DE,37795400000,143000000,1477300000,183000000,5928000000,1945900000,3537300000,9.09
10/31/14,DE,36066900000,151000000,1452000000,174000000,5218000000,1626500000,3161700000,8.63
10/31/15,DE,28862800000,160000000,1425100000,157000000,3140000000,840100000,1940000000,5.77
11/1/15,DE,28862800000,160000000,1425100000,157000000,3140000000,840100000,1940000000,5.77
10/30/16,DE,26644000000,162000000,1389100000,169000000,2589000000,700100000,1523900000,4.81
10/31/16,DE,26644000000,162000000,1389100000,169000000,2589000000,700100000,1523900000,4.81
10/29/17,DE,29737700000,168000000,1367700000,169000000,3543000000,971100000,2159100000,6.68
10/28/18,DE,37357700000,NA,1657600000,188000000,4476000000,1726900000,2368400000,7.24
11/3/19,DE,39258000000,NA,1783000000,215000000,4415000000,852000000,3253000000,10.15
11/1/20,DE,35540000000,85000000,1644000000,196000000,4305000000,1082000000,2751000000,8.69
10/31/21,DE,44024000000,47000000,1587000000,212000000,8012000000,1658000000,5963000000,18.99
10/30/22,DE,52577000000,53000000,1912000000,227000000,9508000000,2007000000,7131000000,23.28
12/31/08,PCAR,14972500000,NA,-0.004,NA,NA,446100000,1017900000,2.78
12/31/09,PCAR,8086500000,NA,-0.021,NA,NA,63100000,111900000,0.31
12/31/10,PCAR,10292900000,NA,-0.005,NA,NA,202700000,457600000,1.25
12/31/11,PCAR,16355200000,NA,-0.003,NA,NA,464600000,1042300000,2.86
12/31/12,PCAR,17050500000,NA,NA,NA,NA,517300000,1111600000,3.12
12/31/13,PCAR,17123800000,NA,NA,NA,NA,523700000,1171300000,3.3
12/31/14,PCAR,18997000000,NA,NA,NA,NA,658800000,1358800000,3.82
12/31/15,PCAR,19115100000,NA,NA,NA,NA,733100000,1604000000,4.51
12/31/16,PCAR,17033300000,NA,NA,NA,NA,608700000,521700000,1.48
12/31/17,PCAR,19456400000,NA,NA,NA,NA,498100000,1675200000,4.75
12/31/18,PCAR,23495700000,NA,0.008,NA,NA,615100000,2195100000,6.24
12/31/19,PCAR,25599700000,NA,0.009,NA,NA,711300000,2387900000,6.87
12/31/20,PCAR,18728500000,NA,0.014,NA,NA,359500000,1298400000,3.74
12/31/21,PCAR,23522300000,NA,0.012,NA,NA,526500000,1852100000,5.32
12/31/22,PCAR,28819700000,NA,0.01,NA,NA,837100000,3011600000,5.75
12/31/07,PCAR,NA,NA,NA,NA,NA,537000000,1227300000,3.29
